Warehouse	Query	Time	Cost	Log Time	Log Time Bin	Time Bin	Cents	Log Cents	Log Cents Bin	Cents Bin
Snowflake	query/query1.sql	1.829	0.005494160138	0.8710550751	1	2	0.5494160138	-0.8640291337	0	1
Snowflake	query/query10.sql	11.945	0.03588176208	3.578334949	4	16	3.588176208	1.84325074	2	4
Snowflake	query/query11.sql	28.947	0.08695432122	4.855341933	5	32	8.695432122	3.120257725	4	16
Snowflake	query/query12.sql	1.804	0.005419062269	0.8511993386	1	2	0.5419062269	-0.8838848702	0	1
Snowflake	query/query13.sql	37.404	0.1123584285	5.225120656	6	64	11.23584285	3.490036447	4	16
Snowflake	query/query14.sql	33.454	0.1004929652	5.064106815	6	64	10.04929652	3.329022606	4	16
Snowflake	query/query15.sql	1.3	0.003905089218	0.3785116233	1	2	0.3905089218	-1.356572586	-1	0.5
Snowflake	query/query16.sql	2.608	0.007834209754	1.38294387	2	4	0.7834209754	-0.3521403392	0	1
Snowflake	query/query17.sql	9.461	0.02842003776	3.24199268	4	16	2.842003776	1.506908472	2	4
Snowflake	query/query18.sql	3.985	0.01197060041	1.994579724	2	4	1.197060041	0.2594955155	1	2
Snowflake	query/query19.sql	5.368	0.01612501456	2.424384672	3	8	1.612501456	0.6893004628	1	2
Snowflake	query/query2.sql	11.429	0.03433174206	3.514627273	4	16	3.433174206	1.779543064	2	4
Snowflake	query/query20.sql	0.661	0.001985587672	-0.5972778232	0	1	0.1985587672	-2.332362032	-2	0.25
Snowflake	query/query21.sql	1.527	0.004586977874	0.6107000621	1	2	0.4586977874	-1.124384147	-1	0.5
Snowflake	query/query22.sql	11.153	0.03350266157	3.479359922	4	16	3.350266157	1.744275713	2	4
Snowflake	query/query23.sql	84.674	0.2543534803	6.403847138	7	128	25.43534803	4.66876293	5	32
Snowflake	query/query24.sql	519.737	1.561245658	9.021637958	10	1024	156.1245658	7.286553749	8	256
Snowflake	query/query25.sql	6.136	0.01843202111	2.617298483	3	8	1.843202111	0.8822142741	1	2
Snowflake	query/query26.sql	1.993	0.005986802163	0.9949417102	1	2	0.5986802163	-0.7401424986	0	1
Snowflake	query/query27.sql	9.448	0.02838098687	3.240008965	4	16	2.838098687	1.504924756	2	4
Snowflake	query/query28.sql	24.124	0.07246644023	4.592397235	5	32	7.246644023	2.857313026	3	8
Snowflake	query/query29.sql	6.875	0.02065191413	2.781359714	3	8	2.065191413	1.046275505	2	4
Snowflake	query/query3.sql	2.58	0.00775010014	1.367371066	2	4	0.775010014	-0.3677131431	0	1
Snowflake	query/query30.sql	1.394	0.004187457208	0.4792305612	1	2	0.4187457208	-1.255853648	-1	0.5
Snowflake	query/query31.sql	7.002	0.02103341131	2.807767062	3	8	2.103341131	1.072682853	2	4
Snowflake	query/query32.sql	2.742	0.008236734335	1.455228571	2	4	0.8236734335	-0.2798556376	0	1
Snowflake	query/query33.sql	5.774	0.01734460396	2.529571108	3	8	1.734460396	0.7944868988	1	2
Snowflake	query/query34.sql	3.292	0.009888887466	1.718964336	2	4	0.9888887466	-0.016119873	0	1
Snowflake	query/query35.sql	5.416	0.01626920246	2.437227739	3	8	1.626920246	0.7021435302	1	2
Snowflake	query/query36.sql	5.968	0.01792736342	2.577247536	3	8	1.792736342	0.8421633268	1	2
Snowflake	query/query37.sql	1.885	0.005662379366	0.9145645235	1	2	0.5662379366	-0.8205196853	0	1
Snowflake	query/query38.sql	8.863	0.02662369672	3.147795113	4	16	2.662369672	1.412710905	2	4
Snowflake	query/query39.sql	3.631	0.01090721458	1.86036693	2	4	1.090721458	0.1252827214	1	2
Snowflake	query/query4.sql	31.99	0.09609523391	4.999549087	5	32	9.609523391	3.264464879	4	16
Snowflake	query/query40.sql	0.961	0.002886762106	-0.05739166389	0	1	0.2886762106	-1.792475873	-1	0.5
Snowflake	query/query41.sql	0.351	0.001054374089	-1.510457064	-1	0.5	0.1054374089	-3.245541273	-3	0.125
Snowflake	query/query42.sql	3.134	0.00941426893	1.64800518	2	4	0.941426893	-0.08707902895	0	1
Snowflake	query/query43.sql	4.325	0.01299193144	2.112700133	3	8	1.299193144	0.377615924	1	2
Snowflake	query/query44.sql	5.831	0.0175158271	2.543743323	3	8	1.75158271	0.808659114	1	2
Snowflake	query/query45.sql	3.162	0.009498378544	1.660837368	2	4	0.9498378544	-0.07424684106	0	1
Snowflake	query/query46.sql	6.686	0.02008417424	2.741143355	3	8	2.008417424	1.006059146	2	4
Snowflake	query/query47.sql	15.478	0.04649459301	3.95214716	4	16	4.649459301	2.217062951	3	8
Snowflake	query/query48.sql	7.562	0.02271560359	2.918767849	3	8	2.271560359	1.183683641	2	4
Snowflake	query/query49.sql	14.912	0.04479437724	3.89840186	4	16	4.479437724	2.163317651	3	8
Snowflake	query/query5.sql	7.083	0.02127672841	2.824360542	3	8	2.127672841	1.089276334	2	4
Snowflake	query/query50.sql	7.232	0.02172431171	2.854394678	3	8	2.172431171	1.119310469	2	4
Snowflake	query/query51.sql	26.026	0.07817988614	4.701881692	5	32	7.817988614	2.966797484	3	8
Snowflake	query/query52.sql	3.136	0.00942027676	1.648925559	2	4	0.942027676	-0.0861586493	0	1
Snowflake	query/query53.sql	3.708	0.01113851602	1.890641244	2	4	1.113851602	0.1555570352	1	2
Snowflake	query/query54.sql	3.672	0.01103037508	1.876566059	2	4	1.103037508	0.14148185	1	2
Snowflake	query/query55.sql	3.007	0.009032771753	1.588324868	2	4	0.9032771753	-0.1467593408	0	1
Snowflake	query/query56.sql	6.235	0.01872940867	2.64038956	3	8	1.872940867	0.9053053513	1	2
Snowflake	query/query57.sql	5.737	0.01723345911	2.520296518	3	8	1.723345911	0.7852123092	1	2
Snowflake	query/query58.sql	3.63	0.01090421066	1.859969548	2	4	1.090421066	0.1248853395	1	2
Snowflake	query/query59.sql	16.39	0.04923416329	4.034743949	5	32	4.923416329	2.299659741	3	8
Snowflake	query/query6.sql	4.553	0.01367682401	2.186817459	3	8	1.367682401	0.4517332506	1	2
Snowflake	query/query60.sql	5.007	0.01504060132	2.323946455	3	8	1.504060132	0.5888622467	1	2
Snowflake	query/query61.sql	1.26	0.003784932627	0.3334237337	1	2	0.3784932627	-1.401660475	-1	0.5
Snowflake	query/query62.sql	2.65	0.007960374175	1.40599236	2	4	0.7960374175	-0.3290918491	0	1
Snowflake	query/query63.sql	3.683	0.01106341815	1.880881397	2	4	1.106341815	0.1457971885	1	2
Snowflake	query/query64.sql	23.217	0.06974188952	4.53710966	5	32	6.974188952	2.802025452	3	8
Snowflake	query/query65.sql	14.862	0.04464418151	3.893556369	4	16	4.464418151	2.158472161	3	8
Snowflake	query/query66.sql	4.861	0.01460202976	2.281253134	3	8	1.460202976	0.5461689254	1	2
Snowflake	query/query67.sql	57.429	0.1725118221	5.843707535	6	64	17.25118221	4.108623327	5	32
Snowflake	query/query68.sql	10.765	0.03233714264	3.428276414	4	16	3.233714264	1.693192206	2	4
Snowflake	query/query69.sql	0.821	0.002466214037	-0.2845458729	0	1	0.2466214037	-2.019630082	-2	0.25
Snowflake	query/query7.sql	7.321	0.02199166013	2.872040725	3	8	2.199166013	1.136956516	2	4
Snowflake	query/query70.sql	8.649	0.02598085896	3.112533338	4	16	2.598085896	1.377449129	2	4
Snowflake	query/query71.sql	7.029	0.02111451701	2.813319455	3	8	2.111451701	1.078235246	2	4
Snowflake	query/query72.sql	14.444	0.04338854513	3.85239842	4	16	4.338854513	2.117314212	3	8
Snowflake	query/query73.sql	2.758	0.008284796972	1.463622457	2	4	0.8284796972	-0.2714617519	0	1
Snowflake	query/query74.sql	18.717	0.05622427299	4.22627731	5	32	5.622427299	2.491193101	3	8
Snowflake	query/query75.sql	17.019	0.05112362569	4.089074365	5	32	5.112362569	2.353990156	3	8
Snowflake	query/query76.sql	14.135	0.04246033546	3.821199978	4	16	4.246033546	2.086115769	3	8
Snowflake	query/query77.sql	6.083	0.01827281363	2.604783004	3	8	1.827281363	0.8696987955	1	2
Snowflake	query/query78.sql	69.375	0.2083965881	6.116343961	7	128	20.83965881	4.381259752	5	32
Snowflake	query/query79.sql	6.711	0.02015927211	2.746527757	3	8	2.015927211	1.011443548	2	4
Snowflake	query/query8.sql	6.702	0.02013223688	2.744591687	3	8	2.013223688	1.009507478	2	4
Snowflake	query/query80.sql	16.221	0.0487265017	4.019790857	5	32	4.87265017	2.284706648	3	8
